product_desc,Objetivo Anterior,Objetivo Nuevo
1890-1 Lts-Bottle-RET,48,122
1890-1/2 Lts-Cans,52,57
27 Eazy-1/2 Lts-Cans,19,19
Andes Origen Criolla-1/2 Lts-Cans,5,5
Andes Origen Fresquita-1 Lts-Bottle-RET,38,38
Andes Origen Fresquita-1/2 Lts-Cans,380,108
Andes Origen IPA Roja-1/2 Lts-Cans,27,27
Andes Origen IPA-1 Lts-Bottle-RET,42,12
Andes Origen IPA-1/2 Lts-Cans,113,100
Andes Origen IPA-1/3 Lts-Bottle-RET,52,58
Andes Origen Negra-1 Lts-Bottle-RET,11,11
Andes Origen Negra-1/2 Lts-Cans,30,30
Andes Origen Roja-1 Lts-Bottle-RET,25,25
Andes Origen Roja-1/2 Lts-Cans,153,153
Andes Origen Roja-1/3 Lts-Bottle-RET,28,123
Andes Origen Roja-1/4 Lts-Cans,13,13
Andes Origen Roja-20 Lts-Barrel,2,2
Andes Origen Rubia-1 Lts-Bottle-RET,53,53
Andes Origen Rubia-1/2 Lts-Cans,122,125
Andes Origen Vendimia-1/2 Lts-Cans,8,8
Andes-1 Lts-Bottle-RET,1,1
Andes-1/2 Lts-Cans,3,3
Brahma Dorada-1 Lts-Bottle-RET,50,200
Brahma Dorada-1/2 Lts-Cans,483,114
Brahma Dorada-3/4 Lts-Bottle-OW,142,142
Brahma-1 Lts-Bottle-RET,318,318
Brahma-1.2 Lts-Bottle-RET,1,1
Brahma-1/2 Lts-Cans,478,478
Brahma-1/3 Lts-Bottle-OW,2,2
Brahma-1/3 Lts-Bottle-RET,154,154
Brahma-1/3 Lts-Cans,1,1
Brahma-1/4 Lts-Cans,3,3
Budweiser-1 Lts-Bottle-RET,138,138
Budweiser-1/2 Lts-Cans,189,189
Budweiser-1/3 Lts-Bottle-OW,6,17
Budweiser-1/3 Lts-Bottle-RET,93,95
Budweiser-2/3 Lts-Cans,8,8
Budweiser-3/4 Lts-Bottle-OW,51,51
Corona-1/2 Lts-Cans,355,109
Corona-1/3 Lts-Bottle-OW,107,136
Corona-1/3 Lts-Cans,3,3
Corona-1/4 Lts-Cans,16,22
Corona-3/4 Lts-Bottle-OW,113,113
Goose Island Hazy-1/2 Lts-Cans,8,16
Goose Island-1/2 Lts-Cans,8,8
Michelob Ultra-1/2 Lts-Cans,83,83
Michelob Ultra-1/3 Lts-Bottle-OW,6,6
Patagonia 24.7-1/2 Lts-Cans,46,54
Patagonia 24.7-1/3 Lts-Bottle-OW,4,4
Patagonia 24.7-20 Lts-Barrel,1,1
Patagonia 24.7-3/4 Lts-Bottle-OW,44,44
Patagonia 24.7-30 Lts-Barrel,1,1
Patagonia Amber Lager-1 Lts-Bottle-RET,37,37
Patagonia Amber Lager-1/2 Lts-Cans,45,11
Patagonia Amber Lager-1/3 Lts-Bottle-OW,3,12
Patagonia Amber Lager-20 Lts-Barrel,3,3
Patagonia Amber Lager-3/4 Lts-Bottle-OW,43,43
Patagonia Bohemian Pilsener-1 Lts-Bottle-RET,23,23
Patagonia Bohemian Pilsener-1/2 Lts-Cans,30,30
Patagonia Bohemian Pilsener-20 Lts-Barrel,3,3
Patagonia Bohemian Pilsener-3/4 Lts-Bottle-OW,24,74
Patagonia Hoppy Lager-1/4 Lts-Cans,6,6
Patagonia Hoppy Lager-20 Lts-Barrel,2,2
Patagonia Hoppy Lager-3/4 Lts-Bottle-OW,8,27
Patagonia Indira-1/2 Lts-Cans,3,3
Patagonia Kune-1/2 Lts-Cans,7,7
Patagonia Old Ale-20 Lts-Barrel,1,1
Patagonia Solcitra-1/2 Lts-Cans,2,2
Patagonia Solcitra-20 Lts-Barrel,2,2
Patagonia Travesia-1/2 Lts-Cans,6,6
Patagonia Vera Ipa-1/2 Lts-Cans,36,36
Patagonia Vera Ipa-3/4 Lts-Bottle-OW,25,34
Patagonia Weisse-1/2 Lts-Cans,19,31
Patagonia Weisse-3/4 Lts-Bottle-OW,13,13
Patagonia abrazo oso-1/2 Lts-Cans,5,5
Quilmes 0.0-1/2 Lts-Cans,46,46
Quilmes Bajo Cero-1 Lts-Bottle-RET,151,154
Quilmes Bock-1 Lts-Bottle-RET,5,11
Quilmes Bock-1/2 Lts-Cans,6,21
Quilmes Clasica-1 Lts-Bottle-RET,256,256
Quilmes Clasica-1/2 Lts-Cans,240,244
Quilmes Clasica-1/3 Lts-Bottle-RET,102,108
Quilmes Clasica-1/3 Lts-Cans,15,15
Quilmes Clasica-20 Lts-Barrel,3,3
Quilmes Clasica-50 Lts-Barrel,2,2
Quilmes Doble-1/2 Lts-Cans,4,60
Quilmes Ipa-1 Lts-Bottle-OW,33,34
Quilmes Ipa-1/2 Lts-Cans,44,123
Quilmes Red Lager-1/2 Lts-Cans,6,31
Quilmes Stout-1 Lts-Bottle-RET,32,75
Quilmes Stout-1/2 Lts-Cans,29,74
Quilmes Stout-1/3 Lts-Bottle-RET,28,4
Stella Artois Blanche-1 Lts-Bottle-RET,31,42
Stella Artois Blanche-1/2 Lts-Cans,338,338
Stella Artois Blanche-20 Lts-Barrel,4,8
Stella artois 0.0%-1/2 Lts-Cans,2,4
Stella artois 0.0%-1/3 Lts-Bottle-OW,2,4
Stella artois Noire-1 Lts-Bottle-RET,12,32
Stella artois Noire-1/2 Lts-Cans,28,28
Stella artois Noire-1/3 Lts-Bottle-OW,22,96
Stella artois Noire-1/3 Lts-Cans,1,2
Stella artois Noire-1/4 Lts-Cans,4,8
Stella artois-1 Lts-Bottle-RET,165,356
Stella artois-1/2 Lts-Cans,208,240
Stella artois-1/3 Lts-Bottle-OW,3,6
Stella artois-1/3 Lts-Cans,4,8
Stella artois-1/4 Lts-Cans,6,12
Stella artois-20 Lts-Barrel,3,6
Stella artois-3/4 Lts-Bottle-OW,40,114
Temple Cosmica-1/2 Lts-Cans,4,6
Temple Cosmica-20 Lts-Barrel,1,1
Temple Golden-1/2 Lts-Cans,5,5
Temple Honey-1/2 Lts-Cans,5,15
Temple Scottish-1/2 Lts-Cans,12,15
Temple Scottish-30 Lts-Barrel,2,2
Temple Wolf-1/2 Lts-Cans,11,12
